1.0 std,2.5 std,10 std,Fire,DateTime
7,10,15,0,2024-06-29 12:16:27
9,12,16,0,2024-06-29 12:16:44
9,13,15,0,2024-06-29 12:17:01
7,13,15,0,2024-06-29 12:17:18
7,10,13,0,2024-06-29 12:17:35
4,10,10,0,2024-06-29 12:17:54
4,9,9,0,2024-06-29 12:18:13
6,10,10,0,2024-06-29 12:18:30
6,10,10,0,2024-06-29 12:18:47
6,12,12,0,2024-06-29 12:19:04
6,12,12,0,2024-06-29 12:19:21
6,10,12,0,2024-06-29 12:19:38
7,12,12,0,2024-06-29 12:19:55
7,12,15,0,2024-06-29 12:20:13
6,10,16,0,2024-06-29 12:20:30
6,10,15,0,2024-06-29 12:20:47
6,10,12,0,2024-06-29 12:21:04
6,12,12,0,2024-06-29 12:21:21
7,10,12,0,2024-06-29 12:21:40
7,9,10,0,2024-06-29 12:21:58
6,9,10,0,2024-06-29 12:22:15
6,9,9,0,2024-06-29 12:22:32
4,9,9,0,2024-06-29 12:22:49
6,9,10,0,2024-06-29 12:23:06
6,9,10,0,2024-06-29 12:23:23
4,10,12,0,2024-06-29 12:23:40
4,10,10,0,2024-06-29 12:23:57
6,10,13,0,2024-06-29 12:24:15
6,10,13,0,2024-06-29 12:24:32
7,10,13,0,2024-06-29 12:24:49
6,12,16,0,2024-06-29 12:25:07
4,13,15,0,2024-06-29 12:25:26
4,10,10,0,2024-06-29 12:25:43
6,9,9,0,2024-06-29 12:26:00
6,9,10,0,2024-06-29 12:26:18
6,9,12,0,2024-06-29 12:26:35
6,10,12,0,2024-06-29 12:26:52
7,12,13,0,2024-06-29 12:27:09
6,9,12,0,2024-06-29 12:27:26
6,7,9,0,2024-06-29 12:27:43
4,10,12,0,2024-06-29 12:28:00
4,10,13,0,2024-06-29 12:28:18
6,12,13,0,2024-06-29 12:28:35
6,12,13,0,2024-06-29 12:28:54
6,13,15,0,2024-06-29 12:29:11
6,13,13,0,2024-06-29 12:29:28
6,12,12,0,2024-06-29 12:29:45
6,7,9,0,2024-06-29 12:30:02
6,9,12,0,2024-06-29 12:30:19
6,9,12,0,2024-06-29 12:30:37
6,9,13,0,2024-06-29 12:30:54
7,12,12,0,2024-06-29 12:31:11
6,10,10,0,2024-06-29 12:31:28
6,10,12,0,2024-06-29 12:31:45
4,9,12,0,2024-06-29 12:32:02
4,9,12,0,2024-06-29 12:32:20
4,7,9,0,2024-06-29 12:32:40
4,9,10,0,2024-06-29 12:32:57
4,9,10,0,2024-06-29 12:33:14
4,9,12,0,2024-06-29 12:33:31
4,12,12,0,2024-06-29 12:33:48
4,13,13,0,2024-06-29 12:34:05
6,13,13,0,2024-06-29 12:34:22
6,10,12,0,2024-06-29 12:34:40
6,9,12,0,2024-06-29 12:34:57
4,7,9,0,2024-06-29 12:35:14
4,7,9,0,2024-06-29 12:35:31
4,9,10,0,2024-06-29 12:35:48
6,12,12,0,2024-06-29 12:36:07
6,12,12,0,2024-06-29 12:36:25
6,10,12,0,2024-06-29 12:36:43
6,10,13,0,2024-06-29 12:37:00
6,12,13,0,2024-06-29 12:37:17
7,9,10,0,2024-06-29 12:37:34
6,9,10,0,2024-06-29 12:37:51
4,10,10,0,2024-06-29 12:38:08
4,10,15,0,2024-06-29 12:38:25
4,10,13,0,2024-06-29 12:38:43
4,10,13,0,2024-06-29 12:39:00
6,10,13,0,2024-06-29 12:39:17
7,12,13,0,2024-06-29 12:39:34
7,12,15,0,2024-06-29 12:39:53
6,12,13,0,2024-06-29 12:40:10
7,12,12,0,2024-06-29 12:40:27
6,12,12,0,2024-06-29 12:40:45
6,12,12,0,2024-06-29 12:41:02
6,15,16,0,2024-06-29 12:41:19
7,13,21,0,2024-06-29 12:41:36
7,12,21,0,2024-06-29 12:41:53
7,13,16,0,2024-06-29 12:42:10
6,12,13,0,2024-06-29 12:42:27
7,12,12,0,2024-06-29 12:42:44
7,13,13,0,2024-06-29 12:43:02
6,12,13,0,2024-06-29 12:43:21
4,10,13,0,2024-06-29 12:43:39
4,9,13,0,2024-06-29 12:43:56
4,10,15,0,2024-06-29 12:44:13
6,10,12,0,2024-06-29 12:44:30
6,10,13,0,2024-06-29 12:44:47
6,12,12,0,2024-06-29 12:45:05
